"Step","05072025_yolov11n_histEQ - train/box_loss","05072025_yolov11n_histEQ - train/box_loss__MIN","05072025_yolov11n_histEQ - train/box_loss__MAX","05072025_yolov11s_histEQ2 - train/box_loss","05072025_yolov11s_histEQ2 - train/box_loss__MIN","05072025_yolov11s_histEQ2 - train/box_loss__MAX","05072025_yolov11l_histEQ3 - train/box_loss","05072025_yolov11l_histEQ3 - train/box_loss__MIN","05072025_yolov11l_histEQ3 - train/box_loss__MAX","04072025_yolov11m_histEQ - train/box_loss","04072025_yolov11m_histEQ - train/box_loss__MIN","04072025_yolov11m_histEQ - train/box_loss__MAX"
"177","0.69897","0.69897","0.69897","0.78938","0.78938","0.78938","0.92394","0.92394","0.92394","0.80287","0.80287","0.80287"
"178","0.69726","0.69726","0.69726","0.79476","0.79476","0.79476","0.95668","0.95668","0.95668","0.84295","0.84295","0.84295"
"179","0.69281","0.69281","0.69281","0.7847","0.7847","0.7847","0.91475","0.91475","0.91475","0.88276","0.88276","0.88276"
"180","0.67641","0.67641","0.67641","0.75545","0.75545","0.75545","0.88548","0.88548","0.88548","0.84794","0.84794","0.84794"
"181","0.70317","0.70317","0.70317","0.79081","0.79081","0.79081","0.89162","0.89162","0.89162","0.84849","0.84849","0.84849"
"182","0.70229","0.70229","0.70229","0.8018","0.8018","0.8018","0.87339","0.87339","0.87339","0.85221","0.85221","0.85221"
"183","0.68669","0.68669","0.68669","0.78073","0.78073","0.78073","0.86369","0.86369","0.86369","0.84472","0.84472","0.84472"
"184","0.68865","0.68865","0.68865","0.77556","0.77556","0.77556","0.88328","0.88328","0.88328","0.83795","0.83795","0.83795"
"185","0.6872","0.6872","0.6872","0.77412","0.77412","0.77412","0.85936","0.85936","0.85936","0.83912","0.83912","0.83912"
"186","0.69151","0.69151","0.69151","0.7714","0.7714","0.7714","0.85892","0.85892","0.85892","0.80533","0.80533","0.80533"
"187","0.69102","0.69102","0.69102","0.77315","0.77315","0.77315","0.83869","0.83869","0.83869","0.84997","0.84997","0.84997"
"188","0.69983","0.69983","0.69983","0.78625","0.78625","0.78625","0.84642","0.84642","0.84642","0.81084","0.81084","0.81084"
"189","0.67234","0.67234","0.67234","0.78843","0.78843","0.78843","0.85731","0.85731","0.85731","0.84016","0.84016","0.84016"
