"Step","05072025_yolov11n_histEQ - train/cls_loss","05072025_yolov11n_histEQ - train/cls_loss__MIN","05072025_yolov11n_histEQ - train/cls_loss__MAX","05072025_yolov11s_histEQ2 - train/cls_loss","05072025_yolov11s_histEQ2 - train/cls_loss__MIN","05072025_yolov11s_histEQ2 - train/cls_loss__MAX","05072025_yolov11l_histEQ3 - train/cls_loss","05072025_yolov11l_histEQ3 - train/cls_loss__MIN","05072025_yolov11l_histEQ3 - train/cls_loss__MAX","04072025_yolov11m_histEQ - train/cls_loss","04072025_yolov11m_histEQ - train/cls_loss__MIN","04072025_yolov11m_histEQ - train/cls_loss__MAX"
"165","0.45404","0.45404","0.45404","0.5175","0.5175","0.5175","0.55975","0.55975","0.55975","0.58143","0.58143","0.58143"
"166","0.43889","0.43889","0.43889","0.51184","0.51184","0.51184","0.5631","0.5631","0.5631","0.59004","0.59004","0.59004"
"167","0.46288","0.46288","0.46288","0.51848","0.51848","0.51848","0.56061","0.56061","0.56061","0.58329","0.58329","0.58329"
"168","0.44761","0.44761","0.44761","0.51309","0.51309","0.51309","0.58511","0.58511","0.58511","0.55177","0.55177","0.55177"
"169","0.4487","0.4487","0.4487","0.5106","0.5106","0.5106","0.54241","0.54241","0.54241","0.55742","0.55742","0.55742"
"170","0.45963","0.45963","0.45963","0.51527","0.51527","0.51527","0.57792","0.57792","0.57792","0.55077","0.55077","0.55077"
"171","0.47362","0.47362","0.47362","0.51707","0.51707","0.51707","0.58666","0.58666","0.58666","0.53356","0.53356","0.53356"
"172","0.46553","0.46553","0.46553","0.50768","0.50768","0.50768","0.59156","0.59156","0.59156","0.53072","0.53072","0.53072"
"173","0.46738","0.46738","0.46738","0.51316","0.51316","0.51316","0.5962","0.5962","0.5962","0.55905","0.55905","0.55905"
"174","0.46396","0.46396","0.46396","0.50572","0.50572","0.50572","0.56269","0.56269","0.56269","0.56411","0.56411","0.56411"
"175","0.44186","0.44186","0.44186","0.51176","0.51176","0.51176","0.57787","0.57787","0.57787","0.55809","0.55809","0.55809"
"176","0.44702","0.44702","0.44702","0.50994","0.50994","0.50994","0.58018","0.58018","0.58018","0.55504","0.55504","0.55504"
"177","0.45304","0.45304","0.45304","0.52465","0.52465","0.52465","0.58493","0.58493","0.58493","0.52877","0.52877","0.52877"
"178","0.44955","0.44955","0.44955","0.52088","0.52088","0.52088","0.58874","0.58874","0.58874","0.53164","0.53164","0.53164"
"179","0.44885","0.44885","0.44885","0.51119","0.51119","0.51119","0.56705","0.56705","0.56705","0.56402","0.56402","0.56402"
"180","0.44307","0.44307","0.44307","0.50534","0.50534","0.50534","0.55778","0.55778","0.55778","0.53634","0.53634","0.53634"
"181","0.45055","0.45055","0.45055","0.51884","0.51884","0.51884","0.55343","0.55343","0.55343","0.54778","0.54778","0.54778"
"182","0.4462","0.4462","0.4462","0.50859","0.50859","0.50859","0.54055","0.54055","0.54055","0.54351","0.54351","0.54351"
"183","0.44257","0.44257","0.44257","0.50623","0.50623","0.50623","0.55434","0.55434","0.55434","0.53291","0.53291","0.53291"
"184","0.44042","0.44042","0.44042","0.49451","0.49451","0.49451","0.5768","0.5768","0.5768","0.54819","0.54819","0.54819"
"185","0.44865","0.44865","0.44865","0.49174","0.49174","0.49174","0.53552","0.53552","0.53552","0.53901","0.53901","0.53901"
"186","0.44494","0.44494","0.44494","0.48705","0.48705","0.48705","0.55366","0.55366","0.55366","0.53343","0.53343","0.53343"
"187","0.43898","0.43898","0.43898","0.49812","0.49812","0.49812","0.54379","0.54379","0.54379","0.52344","0.52344","0.52344"
"188","0.44016","0.44016","0.44016","0.5087","0.5087","0.5087","0.56216","0.56216","0.56216","0.51908","0.51908","0.51908"
